Date Time, Water Level, Sigma, I, L 
2006-01-01 00:00,0.115,,0,0
2006-01-01 01:00,-0.033,0.007,0,0
2006-01-01 02:00,-0.049,0.003,0,0
2006-01-01 03:00,-0.049,,0,0
2006-01-01 04:00,-0.052,0.003,0,0
2006-01-01 05:00,0.033,0.003,0,0
2006-01-01 06:00,0.089,0.003,0,0
2006-01-01 07:00,0.194,0.003,0,0
2006-01-01 08:00,0.282,0.003,0,0
2006-01-01 09:00,0.210,0.007,0,0
2006-01-01 10:00,0.039,0.003,0,0
2006-01-01 11:00,-0.272,0.007,0,0
2006-01-01 12:00,-0.643,0.010,0,0
2006-01-01 13:00,-1.155,0.007,0,0
2006-01-01 14:00,-1.572,0.013,0,0
2006-01-01 15:00,-1.841,0.010,0,0
2006-01-01 16:00,-1.982,0.020,0,0
2006-01-01 17:00,-1.867,0.026,0,0
2006-01-01 18:00,-1.585,0.023,0,0
2006-01-01 19:00,-1.194,0.020,0,0
2006-01-01 20:00,-0.669,0.023,0,0
2006-01-01 21:00,-0.256,0.013,0,0
2006-01-01 22:00,0.171,0.007,0,0
2006-01-01 23:00,0.331,0.007,0,0
2006-01-02 00:00,0.390,0.007,0,0
2006-01-02 01:00,0.338,0.007,0,0
2006-01-02 02:00,0.220,0.020,0,0
2006-01-02 03:00,0.226,,0,0
2006-01-02 04:00,0.102,0.007,0,0
2006-01-02 05:00,0.184,,0,0
2006-01-02 06:00,0.059,0.059,1,0
2006-01-02 07:00,0.056,0.066,1,0
2006-01-02 08:00,0.322,0.059,1,0
2006-01-02 09:00,0.233,0.066,1,0
2006-01-02 10:00,-0.190,0.062,1,0
2006-01-02 11:00,-0.325,0.059,1,0
2006-01-02 12:00,-0.778,0.062,1,0
2006-01-02 13:00,-1.257,0.059,1,0
2006-01-02 14:00,-1.601,0.059,1,0
2006-01-02 15:00,-1.785,0.062,1,0
2006-01-02 16:00,-1.929,0.075,1,0
2006-01-02 17:00,-2.343,0.062,1,0
2006-01-02 18:00,-2.136,0.059,1,0
2006-01-02 19:00,-1.788,0.066,1,0
2006-01-02 20:00,-1.404,0.010,0,0
2006-01-02 21:00,-1.033,0.016,0,0
2006-01-02 22:00,-0.571,0.010,0,0
2006-01-02 23:00,-0.302,0.033,0,0
2006-01-03 00:00,-0.157,0.089,0,0
2006-01-03 01:00,-0.131,0.102,0,0
2006-01-03 02:00,-0.059,0.020,0,0
2006-01-03 03:00,-0.253,0.010,0,0
2006-01-03 04:00,-0.469,0.052,1,0
2006-01-03 05:00,-0.554,0.049,1,0
2006-01-03 06:00,-0.564,0.052,1,0
2006-01-03 07:00,-0.610,0.046,1,0
2006-01-03 08:00,-0.633,0.046,1,0
2006-01-03 09:00,-0.492,0.052,1,0
2006-01-03 10:00,-0.604,0.043,1,0
2006-01-03 11:00,-0.646,0.046,1,0
2006-01-03 12:00,-0.771,0.046,1,0
2006-01-03 13:00,-0.974,0.046,1,0
2006-01-03 14:00,-1.247,0.049,1,0
2006-01-03 15:00,-1.654,0.003,0,0
2006-01-03 16:00,-2.005,0.007,0,0
2006-01-03 17:00,-2.178,0.016,0,0
2006-01-03 18:00,-2.192,0.085,0,0
